Event_ID,Product_ID,Submission_ID,Lifecycle_Stage,Stage_Order,Stage_Start_Date,Stage_End_Date,Stage_Duration_Days,Event_Status
900001,102969,500001,Development,1,2023-01-08,2023-06-05,148.5,Completed
900002,102969,500001,Submission Preparation,2,2023-06-05,2023-07-09,34.6,Completed
900003,102969,500001,Regulatory Submission,3,2023-07-10,2023-07-20,10.1,Completed
900004,102969,500001,Regulatory Review,4,2023-07-20,2023-10-13,85.1,Completed
900005,102969,500001,Approval,5,2023-10-13,2023-10-16,3.9,In Progress
900006,102969,500001,Post-Market Monitoring,6,2023-10-17,2024-02-06,112.9,In Progress
900007,114850,500002,Development,1,2024-07-22,2024-10-15,85.4,Completed
900008,114850,500002,Submission Preparation,2,2024-10-15,2024-11-17,33.1,Completed
900009,114850,500002,Regulatory Submission,3,2024-11-17,2024-12-01,14.8,Completed
900010,114850,500002,Regulatory Review,4,2024-12-02,2025-03-09,97.2,Completed
900011,114850,500002,Approval,5,2025-03-09,2025-03-22,13.7,In Progress
900012,114850,500002,Post-Market Monitoring,6,2025-03-23,2025-06-17,86.6,In Progress
900013,100622,500003,Development,1,2024-08-21,2024-12-10,111.8,Completed
900014,100622,500003,Submission Preparation,2,2024-12-10,2025-01-31,52.3,Completed
900015,100622,500003,Regulatory Submission,3,2025-02-01,2025-02-07,6.7,Completed
900016,100622,500003,Regulatory Review,4,2025-02-07,2025-03-23,44.1,Completed
900017,100622,500003,Approval,5,2025-03-23,2025-04-01,9.9,Completed
900018,100622,500003,Post-Market Monitoring,6,2025-04-02,2025-07-09,98.8,Completed
900019,104445,500004,Development,1,2023-12-27,2024-04-18,113.2,Completed
900020,104445,500004,Submission Preparation,2,2024-04-18,2024-06-28,71.9,Completed
900021,104445,500004,Regulatory Submission,3,2024-06-29,2024-07-11,12.5,Completed
900022,104445,500004,Regulatory Review,4,2024-07-11,2024-10-26,107.1,Completed
900023,104445,500004,Approval,5,2024-10-26,2024-11-13,18.4,Completed
900024,104445,500004,Post-Market Monitoring,6,2024-11-14,2025-03-14,120.1,Completed
900025,108495,500005,Development,1,2024-05-24,2024-07-23,60.5,Completed
900026,108495,500005,Submission Preparation,2,2024-07-23,2024-09-19,58.0,Completed
900027,108495,500005,Regulatory Submission,3,2024-09-19,2024-09-30,11.2,Completed
900028,108495,500005,Regulatory Review,4,2024-09-30,2024-11-21,52.5,Completed
900029,108495,500005,Approval,5,2024-11-22,2024-12-18,26.5,In Progress
900030,108495,500005,Post-Market Monitoring,6,2024-12-18,2025-03-26,98.4,In Progress
900031,113673,500006,Development,1,2023-07-25,2023-10-31,98.4,Completed
900032,113673,500006,Submission Preparation,2,2023-10-31,2023-12-16,46.9,Completed
900033,113673,500006,Regulatory Submission,3,2023-12-17,2023-12-25,8.7,Completed
900034,113673,500006,Regulatory Review,4,2023-12-26,2024-03-31,96.2,Completed
900035,113673,500006,Approval,5,2024-03-31,2024-04-07,7.1,In Progress
900036,113673,500006,Post-Market Monitoring,6,2024-04-07,2024-06-16,70.9,In Progress
900037,111016,500007,Development,1,2022-08-24,2022-12-23,121.3,Completed
900038,111016,500007,Submission Preparation,2,2022-12-23,2023-02-16,55.9,Completed
900039,111016,500007,Regulatory Submission,3,2023-02-17,2023-03-07,18.1,Completed
900040,111016,500007,Regulatory Review,4,2023-03-07,2023-05-14,68.9,Completed
900041,111016,500007,Approval,5,2023-05-15,2023-05-31,16.4,In Progress
900042,111016,500007,Post-Market Monitoring,6,2023-05-31,2023-08-31,92.8,In Progress
900043,113482,500008,Development,1,2023-09-10,2024-02-02,145.3,Completed
900044,113482,500008,Submission Preparation,2,2024-02-02,2024-03-22,49.0,Completed
900045,113482,500008,Regulatory Submission,3,2024-03-22,2024-04-01,10.2,Completed
900046,113482,500008,Regulatory Review,4,2024-04-01,2024-06-05,65.6,Completed
900047,113482,500008,Approval,5,2024-06-06,2024-06-26,20.5,Completed
900048,113482,500008,Post-Market Monitoring,6,2024-06-26,2024-09-30,96.5,Completed
900049,106635,500009,Development,1,2024-10-07,2025-04-03,178.6,Completed
900050,106635,500009,Submission Preparation,2,2025-04-03,2025-05-03,30.1,Completed
900051,106635,500009,Regulatory Submission,3,2025-05-03,2025-05-21,18.7,Completed
900052,106635,500009,Regulatory Review,4,2025-05-22,2025-08-10,80.5,Completed
900053,106635,500009,Approval,5,2025-08-10,2025-08-29,19.9,Completed
900054,106635,500009,Post-Market Monitoring,6,2025-08-30,2025-11-21,83.6,Completed
900055,112826,500010,Development,1,2024-05-22,2024-09-05,106.2,Completed
900056,112826,500010,Submission Preparation,2,2024-09-05,2024-10-16,41.0,Completed
900057,112826,500010,Regulatory Submission,3,2024-10-16,2024-10-27,11.1,Completed
900058,112826,500010,Regulatory Review,4,2024-10-27,2024-12-01,35.9,Completed
900059,112826,500010,Approval,5,2024-12-02,2024-12-23,21.7,Completed
900060,112826,500010,Post-Market Monitoring,6,2024-12-23,2025-02-19,58.6,Completed
900061,104759,500011,Development,1,2022-07-27,2022-11-03,99.4,Completed
900062,104759,500011,Submission Preparation,2,2022-11-03,2022-12-16,43.0,Completed
900063,104759,500011,Regulatory Submission,3,2022-12-16,2022-12-21,5.8,Completed
900064,104759,500011,Regulatory Review,4,2022-12-22,2023-03-27,95.6,Completed
900065,104759,500011,Approval,5,2023-03-27,2023-04-09,13.3,Completed
900066,104759,500011,Post-Market Monitoring,6,2023-04-10,2023-09-17,160.1,Completed
900067,102379,500012,Development,1,2022-08-20,2023-01-23,156.2,Completed
900068,102379,500012,Submission Preparation,2,2023-01-23,2023-03-20,56.8,Completed
900069,102379,500012,Regulatory Submission,3,2023-03-21,2023-04-02,12.7,Completed
900070,102379,500012,Regulatory Review,4,2023-04-02,2023-07-11,100.1,Completed
900071,102379,500012,Approval,5,2023-07-11,2023-07-24,13.9,Completed
900072,102379,500012,Post-Market Monitoring,6,2023-07-25,2023-11-08,106.1,Completed
900073,113426,500013,Development,1,2024-12-12,2025-04-07,116.3,Completed
900074,113426,500013,Submission Preparation,2,2025-04-07,2025-05-29,52.3,Completed
900075,113426,500013,Regulatory Submission,3,2025-05-29,2025-06-08,10.9,Completed
900076,113426,500013,Regulatory Review,4,2025-06-09,2025-07-30,51.2,Completed
900077,113426,500013,Approval,5,2025-07-30,2025-08-16,17.5,Completed
900078,113426,500013,Post-Market Monitoring,6,2025-08-17,2025-10-20,64.2,Completed
900079,109897,500014,Development,1,2022-06-30,2022-10-19,111.0,Completed
900080,109897,500014,Submission Preparation,2,2022-10-19,2022-11-26,38.7,Completed
