Product_ID,Product_Name,Product_Category_ID,Business_Unit,Product_Type,Development_Date,Lifecycle_Status,Risk_Category
100001,Product_100001,5,Research,Component,2024-10-19,Launched,Medium
100002,Product_100002,3,Research,New Product,2023-01-28,Launched,Medium
100003,Product_100003,6,Quality Assurance,New Product,2025-12-27,Approved,Medium
100004,Product_100004,5,Diagnostics,Software,2024-06-09,Submission,High
100005,Product_100005,1,Diagnostics,Platform,2025-01-29,Submission,Medium
100006,Product_100006,6,Research,Software,2023-05-17,Approved,Medium
100007,Product_100007,5,Product Management,Platform,2024-08-26,Launched,Low
100008,Product_100008,5,Quality Assurance,Reagent,2024-08-17,Submission,Medium
100009,Product_100009,1,Regulatory Affairs,Software,2024-05-22,Launched,Medium
100010,Product_100010,3,Regulatory Affairs,Software,2024-05-14,Approved,Medium
100011,Product_100011,2,Quality Assurance,Platform,2024-10-24,Launched,Low
100012,Product_100012,6,Diagnostics,Reagent,2025-12-28,Post-Market,Medium
100013,Product_100013,4,Quality Assurance,Platform,2025-06-23,Submission,Medium
100014,Product_100014,6,Research,Software,2023-03-31,Post-Market,Low
100015,Product_100015,3,Research,Platform,2025-07-22,Launched,Medium
100016,Product_100016,2,Quality Assurance,New Product,2023-05-27,Post-Market,Low
100017,Product_100017,3,Product Management,Component,2022-12-30,Approved,Medium
100018,Product_100018,1,Regulatory Affairs,Platform,2022-10-18,Post-Market,Medium
100019,Product_100019,6,Research,New Product,2024-10-24,Launched,Medium
100020,Product_100020,4,Regulatory Affairs,Platform,2023-11-09,Submission,Medium
100021,Product_100021,5,Product Management,New Product,2025-04-24,Post-Market,Low
100022,Product_100022,2,Diagnostics,Reagent,2025-05-08,Post-Market,Medium
100023,Product_100023,6,Diagnostics,Component,2024-02-26,Submission,High
100024,Product_100024,6,Research,New Product,2022-11-05,Approved,Low
100025,Product_100025,5,Regulatory Affairs,Software,2022-06-13,Post-Market,Medium
100026,Product_100026,1,Quality Assurance,Component,2025-11-05,Launched,Low
100027,Product_100027,3,Research,Software,2023-03-25,Launched,Low
100028,Product_100028,1,Product Management,Component,2022-01-20,Submission,Low
100029,Product_100029,1,Quality Assurance,New Product,2023-08-03,Approved,Medium
100030,Product_100030,5,Regulatory Affairs,New Product,2025-03-22,Launched,Low
100031,Product_100031,5,Quality Assurance,Software,2022-05-14,Launched,Medium
100032,Product_100032,6,Quality Assurance,Software,2024-10-07,Approved,Low
100033,Product_100033,2,Product Management,Software,2023-08-31,Launched,Low
100034,Product_100034,2,Research,New Product,2025-08-15,Submission,High
100035,Product_100035,3,Research,Reagent,2023-10-18,Launched,Low
100036,Product_100036,1,Quality Assurance,Platform,2024-02-02,Development,Low
100037,Product_100037,1,Regulatory Affairs,Software,2023-10-30,Launched,Low
100038,Product_100038,3,Diagnostics,New Product,2024-09-21,Launched,Low
100039,Product_100039,2,Product Management,Software,2022-04-14,Launched,Medium
100040,Product_100040,4,Research,Reagent,2022-03-14,Submission,Low
100041,Product_100041,3,Quality Assurance,New Product,2024-04-30,Launched,Medium
100042,Product_100042,6,Quality Assurance,Software,2023-07-31,Development,Low
100043,Product_100043,5,Diagnostics,Component,2022-09-02,Development,Medium
100044,Product_100044,2,Quality Assurance,New Product,2025-01-30,Launched,Low
100045,Product_100045,6,Quality Assurance,New Product,2024-12-30,Submission,Low
100046,Product_100046,5,Product Management,Software,2022-06-09,Approved,Medium
100047,Product_100047,2,Research,New Product,2022-09-27,Post-Market,Low
